                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.84324,                0.39804,                0.78348,                0.91297,                0.73128,                0.79875,                0.54513,                0.83576,                0.40127,                0.79542,             0.00081688,             0.00081688,             0.00081688
                     37,                0.81848,                0.38931,                0.78459,                0.91275,                0.73578,                0.80351,                 0.5372,                0.89664,                0.41231,                0.79894,              0.0008045,              0.0008045,              0.0008045
                     38,                0.83409,                0.39266,                0.78279,                0.91391,                0.75972,                 0.8279,                 0.5637,                0.81265,                0.38631,                0.79408,             0.00079213,             0.00079213,             0.00079213
                     39,                0.80253,                0.37633,                0.78244,                0.88931,                 0.7239,                0.79842,                0.53562,                0.84343,                 0.4028,                0.79733,             0.00077975,             0.00077975,             0.00077975
                     40,                0.79278,                0.37708,                0.78163,                0.89738,                 0.7373,                0.79558,                0.55233,                0.80419,                0.39807,                0.79461,             0.00076738,             0.00076738,             0.00076738
                     41,                0.81346,                0.38376,                0.78147,                0.85003,                0.72429,                0.78406,                0.54387,                0.82496,                0.39759,                0.79503,               0.000755,               0.000755,               0.000755
                     42,                0.82123,                0.38506,                0.78533,                0.92976,                0.72487,                0.80133,                0.54712,                0.83304,                0.39878,                0.79596,             0.00074263,             0.00074263,             0.00074263
                     43,                0.81522,                0.38247,                0.78068,                0.84693,                0.74688,                0.79313,                0.55609,                0.79239,                0.37525,                0.79189,             0.00073025,             0.00073025,             0.00073025
                     44,                0.80653,                0.37743,                  0.783,                0.81407,                0.76355,                0.80975,                0.54065,                0.82585,                0.39383,                0.79506,             0.00071788,             0.00071788,             0.00071788
                     45,                0.81458,                0.38663,                0.78091,                0.85505,                0.75192,                0.79428,                0.54191,                0.80756,                0.39119,                0.79458,              0.0007055,              0.0007055,              0.0007055
                     46,                0.81937,                0.38851,                0.78292,                0.91953,                0.72176,                  0.812,                0.53233,                0.86502,                0.40696,                0.79688,             0.00069313,             0.00069313,             0.00069313
                     47,                0.79651,                0.38262,                0.78184,                0.91337,                 0.7302,                0.82992,                0.57797,                0.77956,                0.37775,                0.79261,             0.00068075,             0.00068075,             0.00068075
                     48,                0.76377,                0.36724,                0.78037,                  0.855,                0.75418,                0.80477,                0.55631,                 0.8145,                0.39319,                0.79364,             0.00066838,             0.00066838,             0.00066838
                     49,                0.79107,                0.38062,                 0.7827,                0.84146,                0.75923,                0.80329,                0.55917,                0.80246,                0.38694,                0.79511,               0.000656,               0.000656,               0.000656
                     50,                0.77373,                0.36958,                0.78031,                0.89246,                0.75418,                 0.8119,                 0.5595,                0.80212,                0.37357,                0.79162,             0.00064362,             0.00064362,             0.00064362
                     51,                0.78576,                0.37063,                0.78076,                0.88987,                0.76728,                0.81523,                0.55708,                0.83829,                0.38959,                0.79445,             0.00063125,             0.00063125,             0.00063125
                     52,                0.77723,                0.36012,                0.78081,                0.89735,                0.75638,                0.81977,                0.56289,                0.81611,                0.38097,                0.79378,             0.00061887,             0.00061887,             0.00061887
                     53,                0.77464,                0.35956,                0.77991,                0.90939,                 0.7362,                0.80993,                0.55818,                0.81245,                0.38954,                0.79527,              0.0006065,              0.0006065,              0.0006065
                     54,                0.75866,                0.35527,                0.77938,                0.92546,                 0.7297,                0.80456,                0.56361,                0.76867,                0.37086,                0.79202,             0.00059413,             0.00059413,             0.00059413
                     55,                0.75518,                 0.3562,                0.77797,                0.88095,                0.75318,                0.81169,                0.56309,                0.79055,                0.37237,                0.79367,             0.00058175,             0.00058175,             0.00058175
                     56,                0.75142,                 0.3564,                0.78047,                 0.8051,                0.71166,                0.77292,                0.53653,                0.79013,                 0.3829,                0.79232,             0.00056938,             0.00056938,             0.00056938
                     57,                0.75407,                0.35459,                0.77718,                0.89477,                0.76711,                0.82257,                0.56555,                0.78917,                0.37148,                0.79201,               0.000557,               0.000557,               0.000557
                     58,                0.73518,                0.35085,                0.77717,                0.92038,                0.74994,                0.81484,                 0.5801,                0.76512,                0.36451,                0.79088,             0.00054463,             0.00054463,             0.00054463
                     59,                 0.7181,                0.34131,                0.77735,                 0.8743,                 0.7737,                 0.8259,                0.57297,                0.78852,                0.37499,                0.79304,             0.00053225,             0.00053225,             0.00053225
                     60,                0.73923,                0.34881,                0.77655,                0.83293,                0.73825,                0.80706,                0.57682,                0.78071,                0.37296,                0.79303,             0.00051988,             0.00051988,             0.00051988
                     61,                0.74468,                0.35388,                0.77572,                0.86686,                0.75661,                0.81023,                0.55832,                0.79167,                0.38348,                0.79283,              0.0005075,              0.0005075,              0.0005075
